Cloudiness,Country,Date,Maximum Temperature,Humidity,Latitude,Longitude,Wind Speed,City
99,RU,1666236076,36.14,72,65.8522,44.24,18.79,Mezen'
6,JP,1666236007,56.32,60,42.3339,142.3669,19.08,Shizunai-furukawachō
20,AU,1666235917,68.22,66,-42.8794,147.3294,16.11,Hobart
97,CO,1666236077,73.87,84,3.1533,-75.0531,3.83,Baraya
82,RU,1666235869,35.49,94,59.7035,30.7861,4.85,Nikolskoye
0,US,1666235929,74.95,21,37.1041,-113.5841,4.61,Saint George
100,CL,1666236077,53.22,96,-41.8697,-73.8203,19.26,Ancud
20,ZA,1666235832,70.11,89,-33.918,25.5701,25.32,Port Elizabeth
99,PT,1666235869,62.78,83,38.5167,-28.7,3.0,Ribeira Grande
100,RU,1666236079,32.2,98,73.5069,80.5464,21.61,Dikson
2,PF,1666236079,77.2,72,-9.8,-139.0333,13.11,Atuona
61,ZA,1666236080,68.18,87,-33.5906,26.891,1.01,Port Alfred
62,EC,1666235870,68.23,79,-0.7393,-90.3518,7.7,Puerto Ayora
62,MR,1666236080,85.01,18,20.5169,-13.0499,8.14,Atar
100,RU,1666236081,16.56,93,67.45,153.6833,21.47,Srednekolymsk
13,ZA,1666236081,59.81,89,-34.4187,19.2345,10.74,Hermanus
89,GH,1666236081,70.05,99,7.0805,-2.1697,1.9,Boma
100,IS,1666236082,44.08,76,64.8945,-23.7142,20.31,Olafsvik
20,MY,1666235960,85.93,74,5.4112,100.3354,4.61,George Town
21,RE,1666236082,71.19,75,-21.3585,55.7679,6.24,Saint-Philippe
0,IN,1666235825,77.04,47,28.4667,77.0333,0.0,Gurgaon
100,PF,1666236083,71.08,71,-23.1203,-134.9692,18.34,Rikitea
63,LY,1666236083,68.76,58,29.1081,21.2869,6.42,Awjilah
20,US,1666236058,47.71,66,57.79,-152.4072,16.11,Saint Paul Harbor
0,GL,1666236083,-0.6,63,77.484,-69.3632,11.1,Qaanaaq
